session,duration_s,baseline,outage_start_s,pos_err_m,vel_err_ms,head_err_deg
S-Vta1a.parquet,30,zupt_v1,496.7,544.3249283139229,4.744444444444444,13.574506360755095
S-Vta1a.parquet,30,gyro_only,1848.5,55.53225300675467,22.69975133359189,14.496406840305383
S-Vta1a.parquet,30,zupt_v1,1848.5,310.1576339050699,3.9666666666666663,14.496406840305383
S-Vta1a.parquet,60,gyro_only,979.0,864.7437918238778,27.62423571228571,72.84169256928308
S-Vta1a.parquet,60,zupt_v1,979.0,1088.9085620157787,7.5249999999999995,72.84169256928308
S-Vta1a.parquet,60,gyro_only,611.7,1096.7207666437994,15.068655348238316,59.51288429286245
S-Vta1a.parquet,60,zupt_v1,611.7,1177.7411349003935,6.669444444444444,59.51288429286245
S-Vta1a.parquet,60,gyro_only,1256.5,357.90224595680115,22.871491904714148,5.109636618956273
S-Vta1a.parquet,60,zupt_v1,1256.5,1234.3105155983037,5.752777777777778,5.109636618956273
S-Vta1a.parquet,60,gyro_only,1770.2,724.2994345812554,0.28419076076767436,74.35575457711406
S-Vta1a.parquet,60,zupt_v1,1770.2,718.5657485544989,5.438888888888888,74.35575457711406
S-Vta1a.parquet,60,gyro_only,1341.3,894.3757572792617,16.83384028766802,66.73865385863039
S-Vta1a.parquet,60,zupt_v1,1341.3,995.5675421686992,6.347222222222222,66.73865385863039
S-Vta1a.parquet,60,gyro_only,2035.2,835.5066714968691,49.51766055098267,23.236831698520234
S-Vta1a.parquet,60,zupt_v1,2035.2,575.8307625907108,0.7604709340516607,23.236831698520234
S-Vta1a.parquet,60,gyro_only,1680.2,370.77000595585645,2.2671122717017944,84.49712413253934
S-Vta1a.parquet,60,zupt_v1,1680.2,545.1238966175376,2.6027777777777774,84.49712413253934
S-Vta1a.parquet,60,gyro_only,1447.5,888.5488841116098,2.4385057453329937,86.85294985757008
S-Vta1a.parquet,60,zupt_v1,1447.5,1008.9279102393017,5.344444444444444,86.85294985757008
S-Vta1a.parquet,120,gyro_only,715.0,1621.7982735606333,32.63402627640526,8.042310616836346
S-Vta1a.parquet,120,zupt_v1,715.0,1894.2009725462735,2.186111111111111,8.042310616836346
S-Vta1a.parquet,120,gyro_only,1283.2,1885.5026324962475,38.47571932479477,64.40980712473242
S-Vta1a.parquet,120,zupt_v1,1283.2,1972.0122459382173,6.352777777777778,64.40980712473242
S-Vta1a.parquet,120,gyro_only,1808.0,1273.185104905542,24.769653010604134,33.718742427032055
S-Vta1a.parquet,120,zupt_v1,1808.0,1585.5154637793105,3.6638888888888888,33.718742427032055
S-Vta1a.parquet,120,gyro_only,1435.1,479.4199569911357,4.269444444444444,10.625414487797372
S-Vta1a.parquet,120,zupt_v1,1435.1,1817.7058394639066,4.269444444444444,10.625414487797372
S-Vta1a.parquet,120,gyro_only,986.1,2201.92062005086,51.73743505186422,1.3314205876149003
S-Vta1a.parquet,120,zupt_v1,986.1,2406.5596950073614,4.469444444444444,1.3314205876149003
S-Vta1a.parquet,120,gyro_only,1979.2,4877.8372592600745,104.91347398870543,3.151142457724518
S-Vta1a.parquet,120,zupt_v1,1979.2,1262.3977448531746,1.0418631010453305,3.151142457724518
S-Vta1a.parquet,120,gyro_only,562.1,2906.7365111061786,39.11975797236761,74.35884097071914
S-Vta1a.parquet,120,zupt_v1,562.1,2232.9708044721115,5.458333333333333,74.35884097071914
S-Vta1a.parquet,120,gyro_only,1559.4,1169.9623527193703,1.1515916753680053,28.109152563529904
S-Vta1a.parquet,120,zupt_v1,1559.4,1853.5608295322986,3.5931640183995124,28.109152563529904
S-Vta1a.parquet,300,gyro_only,354.9,7640.515717152671,56.50500839926498,171.83231546551883
S-Vta1a.parquet,300,zupt_v1,354.9,5648.081666971763,7.402777777777777,171.83231546551883
S-Vta1a.parquet,300,gyro_only,1209.7,14442.742675730375,72.52531789965578,105.41317232660538
S-Vta1a.parquet,300,zupt_v1,1209.7,4599.411722425085,5.3635757236165835,105.41317232660538
S-Vta1a.parquet,300,gyro_only,1936.9,19060.015051588598,55.748649187727885,160.92248126537663
S-Vta1a.parquet,300,zupt_v1,1936.9,1664.4425284359875,4.28272946291391,160.92248126537663
S-Vta1a.parquet,300,gyro_only,1569.5,2363.3607375535144,7.966701280860868,63.674420267183166
S-Vta1a.parquet,300,zupt_v1,1569.5,3602.8552073558,3.105555555555555,63.674420267183166
S-Vta1a.parquet,300,gyro_only,708.0,10652.1370921448,54.27223860355468,84.6443056517367
S-Vta1a.parquet,300,zupt_v1,708.0,4680.441626712434,2.375,84.6443056517367
