session,duration_s,actual_dur_s,baseline,outage_start_s,pos_err_m,vel_err_ms,head_err_deg
S-Vtb5.parquet,30,36.0,zupt_v1,4041.3,920.194538331703,7.698422803276272,16.763293855950423
S-Vtb5.parquet,30,36.0,gyro_only,1052.3,466.710665422798,3.708333333333333,17.082127659441426
S-Vtb5.parquet,30,36.0,zupt_v1,1052.3,520.3171027333543,3.708333333333333,17.082127659441426
S-Vtb5.parquet,30,36.0,gyro_only,2943.3,639.6263237586154,2.1603752963228766,16.977857151669753
S-Vtb5.parquet,30,36.0,zupt_v1,2943.3,980.0286818975621,7.3,16.977857151669753
S-Vtb5.parquet,30,36.0,gyro_only,845.3,79.15197502985201,10.2330868991167,10.75792645272196
S-Vtb5.parquet,30,36.0,zupt_v1,845.3,295.0764539844648,1.2194444444444443,10.75792645272196
S-Vtb5.parquet,30,36.0,gyro_only,3411.3,447.8906058275238,11.207017885356782,19.15257456773216
S-Vtb5.parquet,30,36.0,zupt_v1,3411.3,881.893019449957,6.761111111111111,19.15257456773216
S-Vtb5.parquet,30,36.0,gyro_only,5103.3,648.5954255754041,0.26278396239459845,9.868139170353174
S-Vtb5.parquet,30,36.0,zupt_v1,5103.3,887.6627256309922,7.038888888888889,9.868139170353174
S-Vtb5.parquet,60,66.0,gyro_only,2121.3,696.1164670027918,14.922288728234122,75.33712763845315
S-Vtb5.parquet,60,66.0,zupt_v1,2121.3,707.9093550766603,6.066666666666666,75.33712763845315
S-Vtb5.parquet,60,63.0,gyro_only,2925.3,783.6765227303313,10.770518160569992,20.41996123761436
S-Vtb5.parquet,60,63.0,zupt_v1,2925.3,1658.5931419213205,7.897222222222222,20.41996123761436
S-Vtb5.parquet,60,63.0,gyro_only,4572.3,752.5917682311748,2.095756390665069,20.68320756032989
S-Vtb5.parquet,60,63.0,zupt_v1,4572.3,1129.7001022549075,1.3083333333333333,20.68320756032989
S-Vtb5.parquet,60,63.0,gyro_only,3069.3,1615.0864493738975,1.1178881442086537,11.00477253075934
S-Vtb5.parquet,60,63.0,zupt_v1,3069.3,1750.0737774395654,6.226277553774056,11.00477253075934
S-Vtb5.parquet,60,63.1,gyro_only,3231.3,1022.9745343734575,0.9508470952232644,37.119000482220315
S-Vtb5.parquet,60,63.1,zupt_v1,3231.3,1595.4725908152998,7.677777777777778,37.119000482220315
S-Vtb5.parquet,60,63.0,gyro_only,3492.3,1027.8966885089892,7.307625261240881,15.599123126305699
S-Vtb5.parquet,60,63.0,zupt_v1,3492.3,1540.988816893493,6.722222222222221,15.599123126305699
S-Vtb5.parquet,60,63.0,gyro_only,4788.3,872.7624706202118,0.7616651664099603,7.950332068183968
S-Vtb5.parquet,60,63.0,zupt_v1,4788.3,1253.144423527905,5.894444444444444,7.950332068183968
S-Vtb5.parquet,60,63.0,gyro_only,5292.3,1115.7585653944457,16.410681773307438,80.91144260721842
