t,v_true,v_ml,v_ml_raw,v_ekf_pre,v_ekf_post
30873,8.397222222222222,5.615745288848877,4.658745288848877,2.9167247166016477,4.206348704264263
30883,8.397222222222222,6.112569076538086,5.155569076538086,3.881941222794038,4.936036831711404
30893,8.397222222222222,5.8675076789855956,4.910507678985596,4.045146499679753,4.915778068711862
30903,8.397222222222222,6.059343559265137,5.102343559265137,4.036843808145897,5.005743523039667
30913,8.397222222222222,6.531123382568359,5.574123382568359,4.517802147915129,5.480832623350775
30923,8.397222222222222,5.880027515411377,4.923027515411377,5.167269181241509,5.507989483809805
30933,8.397222222222222,6.116637928009033,5.159637928009033,5.0797620715429606,5.581389205428518
30943,8.397222222222222,6.779819232940674,5.822819232940674,6.123595439721882,6.438433151581585
30953,8.397222222222222,5.719948513031006,4.762948513031006,6.184271121244837,5.9609007698530085
30963,8.455555555555556,6.143572551727295,5.186572551727295,5.52448663624563,5.818897496025053
30973,8.455555555555556,6.73135827255249,5.77435827255249,5.012183553127708,5.837987721639492
30983,8.455555555555556,6.431926948547363,5.474926948547363,4.174827889831774,5.261753904717412
30993,8.455555555555556,6.528462154388428,5.571462154388428,4.107138312016,5.278242827624119
31003,8.455555555555556,5.2759172744750975,4.318917274475098,3.8974479335467462,4.5628904715134375
31013,8.455555555555556,4.642410499572754,3.685410499572754,4.5000980136967215,4.568993465721819
31023,8.455555555555556,4.460765344619751,3.503765344619751,4.409912944771032,4.4344619908065654
31033,8.455555555555556,3.8334948844909666,2.876494884490967,3.535429156844243,3.6792956279776674
31043,8.455555555555556,5.434581977844238,4.477581977844238,3.8270759028196837,4.604582472699209
31053,7.808333333333333,6.322589618682861,5.365589618682861,5.0105365631234395,5.647360822949622
31063,7.808333333333333,4.364058000564575,3.407058000564575,5.415732875714399,4.90600274549012
31073,7.808333333333333,5.682253105163574,4.725253105163574,4.295098213329706,4.964949983655276
31083,7.808333333333333,4.174981815338135,3.2179818153381348,4.61406996185001,4.404449614895963
31093,7.808333333333333,3.870729667663574,2.913729667663574,4.617820515340041,4.259896229194673
31103,7.808333333333333,3.640709144592285,2.683709144592285,3.733894000437943,3.6889942541352694
31113,7.808333333333333,4.102611524581909,3.145611524581909,3.553387945915241,3.8156616738607663
31123,7.808333333333333,5.587733013153076,4.630733013153076,3.8224935999424035,4.657119297675399
31133,7.808333333333333,4.653322441101074,3.696322441101074,4.751746529032278,4.705012043272421
31143,7.555555555555555,3.779690963745117,2.822690963745117,4.209038407753056,4.005555961454573
31153,7.555555555555555,4.3389549083709715,3.3819549083709717,4.13754604978515,4.233630082465112
31163,7.555555555555555,4.084738237380981,3.1277382373809814,4.271182547493715,4.182356541822631
31173,7.555555555555555,5.121647579193115,4.164647579193115,3.587207110896929,4.308132342192343
31183,7.555555555555555,5.08032820892334,4.12332820892334,4.388272968678647,4.719150883720398
31193,7.555555555555555,5.0132291145324706,4.056229114532471,4.10659749329171,4.534928755804449
31203,7.555555555555555,4.354063732147217,3.397063732147217,3.817479352664155,4.064217863688805
31213,7.555555555555555,5.805863124847412,4.848863124847412,3.8687283723942776,4.773520177659002
31223,7.555555555555555,3.537499172210693,2.5804991722106934,4.2092470899700425,3.896968058645648
31233,7.686111111111112,3.83013175201416,2.87313175201416,3.7475041286120394,3.786895717269886
31243,7.686111111111112,5.686279041290283,4.729279041290283,3.4139395578436336,4.488962039692391
31253,7.686111111111112,5.411494476318359,4.454494476318359,5.437694259748552,5.425207495341197
31263,7.686111111111112,5.0008976287841795,4.04389762878418,6.436188444880422,5.750987185988327
31273,7.686111111111112,5.628422958374023,4.671422958374023,5.252233081975414,5.418964307772972
31283,7.686111111111112,5.19057629776001,4.23357629776001,6.553985899606692,5.917249638543826
31293,7.686111111111112,4.244321805953979,3.2873218059539795,5.04654592574943,4.675571209791771
31303,7.686111111111112,4.872052652359009,3.915052652359009,5.009055973019016,4.945973858239146
31313,7.686111111111112,4.385059577941894,3.4280595779418945,5.8752045170955505,5.172638869943204
31323,7.533333333333333,5.0541179008483885,4.097117900848389,4.462896358372583,4.7325025579091555
32333,7.116666666666667,4.8000566787719725,3.8430566787719727,7.786303798469621,6.308126324272305
32343,7.116666666666667,5.231464607238769,4.2744646072387695,5.993002277681957,5.623312752648767
32353,7.116666666666667,4.879614336013794,3.922614336013794,5.578597087674543,5.240387446823436
32363,7.116666666666667,5.693879348754883,4.736879348754883,4.694399082820832,5.178126058945674
32373,7.116666666666667,4.765542490005493,3.808542490005493,5.332289767801979,5.0570811322289675
32383,7.116666666666667,5.227461559295654,4.270461559295654,5.362139203501141,5.2967294356673245
32393,7.116666666666667,5.216137630462646,4.2591376304626465,5.247582265339642,5.232323828566552
32403,7.0249999999999995,5.853562099456787,4.896562099456787,5.4618320019573305,5.652435039563344
32413,7.0249999999999995,5.858201248168945,4.901201248168945,5.473592824456479,5.660211086672871
32423,7.0249999999999995,4.415467960357666,3.458467960357666,5.763371613898301,5.109233366486312
32433,7.0249999999999995,4.71609423828125,3.75909423828125,5.201013027167149,4.965676605459348
32443,7.0249999999999995,4.731317979812622,3.774317979812622,5.0963701707569555,4.919731017849605
32453,7.0249999999999995,6.061636669158935,5.1046366691589355,5.136532388742924,5.584654927891112
